"File","Offset","Pointers","Japanese","English","width","height","lineheight","English","English","English","English"
"opb/PartsDesc.opb","0x16a4","0x1 0x67c","耐久力＋１5０"," ・ Stamina +150",240,64,16,"Stamina +150","Stamina +150","Stamina +150","Stamina +150"
"opb/PartsDesc.opb","0x16b3","0x1 0x680","　人形の骨格を補強する部品。骨格を金
属で包み、強度を高める。","An accessory that reinforces a Puppet's frame. Metal is wrapped around the framework to enhance its durability.",240,64,16,"An accessory that reinforces a mech's framework. Metal is wrapped around the framework to enhance it's durability.","　人形の骨格を補強する部品。骨格を金
属で包み、強度を高める。","　人形の骨格を補強する部品。骨格を金
属で包み、強度を高める。","　人形の骨格を補強する部品。骨格を金
属で包み、強度を高める。"
"opb/PartsDesc.opb","0x16f2","0x1 0x68c","金剛装甲","Mythril Armor",102,14,14,"Mythril Armour","Diamond Armor","Diamond Armor","&Diamond Armor"
"opb/PartsDesc.opb","0x16fb","0x1 0x690","耐久力＋３００"," ・ Stamina +300",240,64,16,"Stamina +300","Stamina +300","Stamina +300","Stamina +300"
"opb/PartsDesc.opb","0x170a","0x1 0x694","　人形の骨格を補強する部品。骨格を金
属で包み、強度を高める。","An accessory that reinforces a Puppet's frame. Metal is wrapped around the framework to enhance its durability.",240,64,16,"An accessory that reinforces a mech's framework. Metal is wrapped around the framework to enhance it's durability.","　人形の骨格を補強する部品。骨格を金
属で包み、強度を高める。","　人形の骨格を補強する部品。骨格を金
属で包み、強度を高める。","　人形の骨格を補強する部品。骨格を金
属で包み、強度を高める。"
"opb/PartsDesc.opb","0x1749","0x1 0x6a0","真鍮防弾鎧","Brass Gunplate",102,14,14,"Brass Gunplate","Brass Gunplate","Brass Bulletproofing","&Brass Gunplate"
"opb/PartsDesc.opb","0x1754","0x1 0x6a4","射撃武器のダメージを１０％軽減"," ・ Damage from firearms reduced 10%",240,64,16,"Damage from firearms reduced by 10%","Shooting damage reduced 10%","Shooting damage reduced by 10%","Shooting damage reduced 10%"
"opb/PartsDesc.opb","0x1773","0x1 0x6a8","　人形の外殻を補強する装甲板。防弾性
に優れ、弾丸や光学兵器を遮断する。","Armored plate to reinforce a Puppet's outer body. With excellent bulletproofing properties, it resists penetration by shells from ranged weapons.",240,64,16,"Armoured plate to reinforce a mech's outer body. With excellent bulletproofing properties, it resists penetration by shells from ranged weapons. ","　人形の外殻を補強する装甲板。防弾性
に優れ、弾丸や光学兵器を遮断する。","　人形の外殻を補強する装甲板。防弾性
に優れ、弾丸や光学兵器を遮断する。","　人形の外殻を補強する装甲板。防弾性
に優れ、弾丸や光学兵器を遮断する。"
"opb/PartsDesc.opb","0x17bc","0x1 0x6b4","青銅防弾鎧","Bronze Gunplate",102,14,14,"Bronze Gunplate","Bronze Gunplate","Bronze Bulletproofing","&Bronze Gunplate"
"opb/PartsDesc.opb","0x17c7","0x1 0x6b8","射撃武器のダメージを１5％軽減"," ・ Damage from firearms reduced 15%",240,64,16,"Damage from firearms reduced by 15%","Shooting damage reduced 15%","Shooting damage reduced by 15%","Shooting damage reduced 15%"
"opb/PartsDesc.opb","0x17e6","0x1 0x6bc","　人形の外殻を補強する装甲板。防弾性
に優れ、弾丸や光学兵器を遮断する。","Armored plate to reinforce a Puppet's outer body. With excellent bulletproofing properties, it resists penetration by shells from ranged weapons.",240,64,16,"Armoured plate to reinforce a mech's outer body. With excellent bulletproofing properties, it resists penetration by shells from ranged weapons. ","　人形の外殻を補強する装甲板。防弾性
に優れ、弾丸や光学兵器を遮断する。","　人形の外殻を補強する装甲板。防弾性
に優れ、弾丸や光学兵器を遮断する。","　人形の外殻を補強する装甲板。防弾性
に優れ、弾丸や光学兵器を遮断する。"
"opb/PartsDesc.opb","0x182f","0x1 0x6c8","鋼鉄防弾鎧","Steel Gunplate",102,14,14,"Steel Gunplate","Steel Gunplate","Steel Bulletproofing","&Steel Gunplate"
"opb/PartsDesc.opb","0x183a","0x1 0x6cc","射撃武器のダメージを２０％軽減"," ・ Damage from firearms reduced 20%",240,64,16,"Damage from firearms reduced by 20%","Shooting damage reduced 20%","Shooting damage reduced by 20%","Shooting damage reduced 20%"
"opb/PartsDesc.opb","0x1859","0x1 0x6d0","　人形の外殻を補強する装甲板。防弾性
に優れ、弾丸や光学兵器を遮断する。","Armored plate to reinforce a Puppet's outer body. With excellent bulletproofing properties, it resists penetration by shells from ranged weapons.",240,64,16,"Armoured plate to reinforce a mech's outer body. With excellent bulletproofing properties, it resists penetration by shells from ranged weapons. ","　人形の外殻を補強する装甲板。防弾性
に優れ、弾丸や光学兵器を遮断する。","　人形の外殻を補強する装甲板。防弾性
に優れ、弾丸や光学兵器を遮断する。","　人形の外殻を補強する装甲板。防弾性
に優れ、弾丸や光学兵器を遮断する。"
"opb/PartsDesc.opb","0x18a2","0x1 0x6dc","白銀防弾鎧","Silver Gunplate",102,14,14,"Silver Gunplate","Silver Gunplate","White Silver Bulletproofing","&Silver Gunplate"
"opb/PartsDesc.opb","0x18ad","0x1 0x6e0","射撃武器のダメージを２5％軽減"," ・ Damage from firearms reduced 25%",240,64,16,"Damage from firearms reduced by 25%","Shooting damage reduced 25%","Shooting damage reduced by 25%","Shooting damage reduced 25%"
"opb/PartsDesc.opb","0x18cc","0x1 0x6e4","　人形の外殻を補強する装甲板。防弾性
に優れ、弾丸や光学兵器を遮断する。","Armored plate to reinforce a Puppet's outer body. With excellent bulletproofing properties, it resists penetration by shells from ranged weapons.",240,64,16,"Armoured plate to reinforce a mech's outer body. With excellent bulletproofing properties, it resists penetration by shells from ranged weapons. ","　人形の外殻を補強する装甲板。防弾性
に優れ、弾丸や光学兵器を遮断する。","　人形の外殻を補強する装甲板。防弾性
に優れ、弾丸や光学兵器を遮断する。","　人形の外殻を補強する装甲板。防弾性
に優れ、弾丸や光学兵器を遮断する。"
"opb/PartsDesc.opb","0x1915","0x1 0x6f0","金剛防弾鎧","Mythril Gunplate",102,14,14,"Mythril Gunplate","Diamond Gunplate","Diamond Bulletproofing","&Diamond Gunplate"
"opb/PartsDesc.opb","0x1920","0x1 0x6f4","射撃武器のダメージを３０％軽減"," ・ Damage from firearms reduced 30%",240,64,16,"Damage from firearms reduced by 30%","Shooting damage reduced 30%","Shooting damage reduced by 30%","Shooting damage reduced 30%"
"opb/PartsDesc.opb","0x193f","0x1 0x6f8","　人形の外殻を補強する装甲板。防弾性
に優れ、弾丸や光学兵器を遮断する。","Armored plate to reinforce a Puppet's outer body. With excellent bulletproofing properties, it resists penetration by shells from ranged weapons.",240,64,16,"Armoured plate to reinforce a mech's outer body. With excellent bulletproofing properties, it resists penetration by shells from ranged weapons. ","　人形の外殻を補強する装甲板。防弾性
に優れ、弾丸や光学兵器を遮断する。","　人形の外殻を補強する装甲板。防弾性
に優れ、弾丸や光学兵器を遮断する。","　人形の外殻を補強する装甲板。防弾性
に優れ、弾丸や光学兵器を遮断する。"
"opb/PartsDesc.opb","0x1988","0x1 0x704","冷却器","Radiator",102,14,14,"Radiator","Radiator","Radiator","&Radiator"
"opb/PartsDesc.opb","0x198f","0x1 0x708","オーバーヒート後の冷却時間を少し短縮"," ・ Slightly shortens cooling time after overheating",240,64,16,"Slightly shortens cooling time after overheating.","Slightly shortens cooling time after overheating","Slightly shortens cooling time after overheating","Slightly shortens cooling time after overheating"
"opb/PartsDesc.opb","0x19b4","0x1 0x70c","　人形の身体を冷却するための装置。","Equipment for cooling a Puppet's body.",240,64,16,"Equipment for cooling a mech's body.","　人形の身体を冷却するための装置。","　人形の身体を冷却するための装置。","　人形の身体を冷却するための装置。"
"opb/PartsDesc.opb","0x19d7","0x1 0x718","大型冷却器","Jumbo Radiator",102,14,14,"Jumbo Radiator","Jumbo Radiator","Jumbo Radiator","&Jumbo Radiator"
"opb/PartsDesc.opb","0x19e2","0x1 0x71c","オーバーヒート後の冷却時間を短縮"," ・ Moderately shortens cooling time after overheating",240,64,16,"Moderately shortens cooling time after overheating.","Shortens cooling time after overheating","Shortens cooling time after overheating","Shortens cooling time after overheating"
"opb/PartsDesc.opb","0x1a03","0x1 0x720","　人形の身体を冷却するための装置。","Equipment for cooling a Puppet's body.",240,64,16,"Equipment for cooling a mech's body.","　人形の身体を冷却するための装置。","　人形の身体を冷却するための装置。","　人形の身体を冷却するための装置。"
"opb/PartsDesc.opb","0x1a26","0x1 0x72c","冷凍装置","Freezer",102,14,14,"Freezer","Freezer","Freezer","&Freezer"
"opb/PartsDesc.opb","0x1a2f","0x1 0x730","オーバーヒート後の冷却時間を
大きく短縮"," ・ Greatly shortens cooling time after overheating",240,64,16,"Greatly shortens cooling time after overheating.","Greatly shortens cooling time after overheating","Greatly shortens cooling time after overheating","Greatly shortens cooling time after overheating"
"opb/PartsDesc.opb","0x1a58","0x1 0x734","　人形の身体を冷却するための装置。","Equipment for cooling a Puppet's body.",240,64,16,"Equipment for cooling a mech's body.","　人形の身体を冷却するための装置。","　人形の身体を冷却するための装置。","　人形の身体を冷却するための装置。"
"opb/PartsDesc.opb","0x1a7b","0x1 0x740","予備弾薬","Spare Ammo",102,14,14,"Spare Ammo","Spare Ammo","Spare Ammo","&Spare Ammo"
"opb/PartsDesc.opb","0x1a84","0x1 0x744","弾薬の搭載数＋１
/c5※残弾に限りのある武器のみ。
　超兵器は含まない。/c3"," ・ Ammunition quantity +1
/c5* Only applies to weapons with limited ammunition. Does not include Super Weapons./c3",240,64,16,"Ammunition quantity +1
/c5* Only applies to weapons with limited ammunition. Does not include Super Weapons./c3","Ammunition quantity +1
/c5* Only applies to weapons with limited ammunition. Does not include Super Weapons./c3","Ammunition quantity +1
/c5* Only applies to weapons with limited
ammunition. Does not include Super Weapons./c3","Ammunition quantity +1
/c5* Only applies to weapons with limited ammunition. Does not include Super Weapons./c3"
"opb/PartsDesc.opb","0x1acf","0x1 0x748","　弾薬庫を拡張するための部品。","A part that increases the amount of ammunition on board a Puppet.",240,64,16,"A part for extending the amount of ammunition in the mech's inventory.","　弾薬庫を拡張するための部品。","　弾薬庫を拡張するための部品。","　弾薬庫を拡張するための部品。"
"opb/PartsDesc.opb","0x1aee","0x1 0x754","新型予備弾薬","Spare Ammo mk II",102,14,14,"Spare Ammo mk II","Spare Ammo mk II","New Model Spare Ammo","&Spare Ammo mk II"
"opb/PartsDesc.opb","0x1afb","0x1 0x758","弾薬の搭載数＋２
/c5※残弾に限りのある武器のみ。
　超兵器は含まない。/c3"," ・ Ammunition quantity +2
/c5* Only applies to weapons with limited ammunition. Does not include Super Weapons./c3",240,64,16,"Ammunition quantity +2
/c5* Only applies to weapons with limited ammunition. Does not include Super Weapons./c3","Ammunition quantity +2
/c5* Only applies to weapons with limited ammunition. Does not include Super Weapons./c3","Ammunition quantity +2
/c5* Only applies to weapons with limited
ammunition. Does not include Super Weapons./c3","Ammunition quantity +2
/c5* Only applies to weapons with limited ammunition. Does not include Super Weapons./c3"
"opb/PartsDesc.opb","0x1b46","0x1 0x75c","　弾薬庫を拡張するための部品。","A part that increases the amount of ammunition on board a Puppet.",240,64,16,"A part for extending the amount of ammunition in the mech's inventory.","　弾薬庫を拡張するための部品。","　弾薬庫を拡張するための部品。","　弾薬庫を拡張するための部品。"
"opb/PartsDesc.opb","0x1b65","0x1 0x768","クロム鋼線Ｖ１","Chrome Wire V1",102,14,14,"Chrome Wire V1","Chrome Wire V1","Chrome-Steel Wire V1","&Chrome Wire V1"
"opb/PartsDesc.opb","0x1b74","0x1 0x76c","投げつけダメージ＋１０％"," ・ Throwing damage +10%",240,64,16,"Throwing damage +10%","Throwing damage +10%","Throwing damage +10%","Throwing damage +10%"
"opb/PartsDesc.opb","0x1b8d","0x1 0x770","　人形の手足を動かすための金属線。強
度の高いものを使用することで、重量の
あるものを持ち上げた時の安定度が増す。","Metal wire for moving a Puppet's limbs. Using high-strength materials increases stability when lifting heavy items.",240,64,16,"A metal wire for moving the limbs of a mech. Using high strength materials increases stability when lifting heavy items.","　人形の手足を動かすための金属線。強
度の高いものを使用することで、重量の
あるものを持ち上げた時の安定度が増す。","　人形の手足を動かすための金属線。強
度の高いものを使用することで、重量の
あるものを持ち上げた時の安定度が増す。","　人形の手足を動かすための金属線。強
度の高いものを使用することで、重量の
あるものを持ち上げた時の安定度が増す。"
"opb/PartsDesc.opb","0x1c00","0x1 0x77c","クロム鋼線Ｖ２","Chrome Wire V2",102,14,14,"Chrome Wire V2","Chrome Wire V2","Chrome-Steel Wire V2","&Chrome Wire V2"
"opb/PartsDesc.opb","0x1c0f","0x1 0x780","投げつけダメージ＋１5％"," ・ Throwing damage +15%",240,64,16,"Throwing damage +15%","Throwing damage +15%","Throwing damage +15%","Throwing damage +15%"
"opb/PartsDesc.opb","0x1c28","0x1 0x784","　人形の手足を動かすための金属線。強
度の高いものを使用することで、重量の
あるものを持ち上げた時の安定度が増す。","Metal wire for moving a Puppet's limbs. Using high-strength materials increases stability when lifting heavy items.",240,64,16,"A metal wire for moving the limbs of a mech. Using high strength materials increases stability when lifting heavy items.","　人形の手足を動かすための金属線。強
度の高いものを使用することで、重量の
あるものを持ち上げた時の安定度が増す。","　人形の手足を動かすための金属線。強
度の高いものを使用することで、重量の
あるものを持ち上げた時の安定度が増す。","　人形の手足を動かすための金属線。強
度の高いものを使用することで、重量の
あるものを持ち上げた時の安定度が増す。"
"opb/PartsDesc.opb","0x1c9b","0x1 0x790","クロム鋼線Ｖ３","Chrome Wire V3",102,14,14,"Chrome Wire V3","Chrome Wire V3","Chrome-Steel Wire V3","&Chrome Wire V3"
"opb/PartsDesc.opb","0x1caa","0x1 0x794","投げつけダメージ＋２5％"," ・ Throwing damage +25%",240,64,16,"Throwing damage +25%","Throwing damage +25%","Throwing damage +25%","Throwing damage +25%"
"opb/PartsDesc.opb","0x1cc3","0x1 0x798","　人形の手足を動かすための金属線。強
度の高いものを使用することで、重量の
あるものを持ち上げた時の安定度が増す。","Metal wire for moving a Puppet's limbs. Using high-strength materials increases stability when lifting heavy items.",240,64,16,"A metal wire for moving the limbs of a mech. Using high strength materials increases stability when lifting heavy items.","　人形の手足を動かすための金属線。強
度の高いものを使用することで、重量の
あるものを持ち上げた時の安定度が増す。","　人形の手足を動かすための金属線。強
度の高いものを使用することで、重量の
あるものを持ち上げた時の安定度が増す。","　人形の手足を動かすための金属線。強
度の高いものを使用することで、重量の
あるものを持ち上げた時の安定度が増す。"
"opb/PartsDesc.opb","0x1d36","0x1 0x7a4","クロム鋼線Ｖ4","Chrome Wire V4",102,14,14,"Chrome Wire V4","Chrome Wire V4","Chrome-Steel Wire V4","&Chrome Wire V4"
"opb/PartsDesc.opb","0x1d45","0x1 0x7a8","投げつけダメージ＋4０％"," ・ Throwing damage +40%",240,64,16,"Throwing damage +40%","Throwing damage +40%","Throwing damage +40%","Throwing damage +40%"
"opb/PartsDesc.opb","0x1d5e","0x1 0x7ac","　人形の手足を動かすための金属線。強
度の高いものを使用することで、重量の
あるものを持ち上げた時の安定度が増す。","Metal wire for moving a Puppet's limbs. Using high-strength materials increases stability when lifting heavy items.",240,64,16,"A metal wire for moving the limbs of a mech. Using high strength materials increases stability when lifting heavy items.","　人形の手足を動かすための金属線。強
度の高いものを使用することで、重量の
あるものを持ち上げた時の安定度が増す。","　人形の手足を動かすための金属線。強
度の高いものを使用することで、重量の
あるものを持ち上げた時の安定度が増す。","　人形の手足を動かすための金属線。強
度の高いものを使用することで、重量の
あるものを持ち上げた時の安定度が増す。"
"opb/PartsDesc.opb","0x1dd1","0x1 0x7b8","クロム鋼線Ｖ5","Chrome Wire V5",102,14,14,"Chrome Wire V5","Chrome Wire V5","Chrome-Steel Wire V5","&Chrome Wire V5"
"opb/PartsDesc.opb","0x1de0","0x1 0x7bc","投げつけダメージ＋5０％"," ・ Throwing damage +50%",240,64,16,"Throwing damage +50%","Throwing damage +50%","Throwing damage +50%","Throwing damage +50%"
"opb/PartsDesc.opb","0x1df9","0x1 0x7c0","　人形の手足を動かすための金属線。強
度の高いものを使用することで、重量の
あるものを持ち上げた時の安定度が増す。","Metal wire for moving a Puppet's limbs. Using high-strength materials increases stability when lifting heavy items.",240,64,16,"A metal wire for moving the limbs of a mech. Using high strength materials increases stability when lifting heavy items.","　人形の手足を動かすための金属線。強
度の高いものを使用することで、重量の
あるものを持ち上げた時の安定度が増す。","　人形の手足を動かすための金属線。強
度の高いものを使用することで、重量の
あるものを持ち上げた時の安定度が増す。","　人形の手足を動かすための金属線。強
度の高いものを使用することで、重量の
あるものを持ち上げた時の安定度が増す。"
"opb/PartsDesc.opb","0x1e6c","0x1 0x7cc","神鉄歯車Ｖ１","Godrion Gear V1",102,14,14,"Godrion Gear V1","Godiron Gear V1","Divine Iron Gear V1","&Godiron Gear V1"
"opb/PartsDesc.opb","0x1e79","0x1 0x7d0","斬撃、打撃ダメージ＋１０％"," ・ Slashing, striking damage +10%",240,64,16,"Slashing, striking damage +10%","Slashing, striking damage +10%","Slashing, striking damage +10%","Slashing, striking damage +10%"
"opb/PartsDesc.opb","0x1e94","0x1 0x7d4","　希少金属“神鉄（しんてつ）”で作ら
れた歯車。人形の力を増大させる。","A gear made from the precious metal {Godrion}. Increases a Puppet's strength.",240,64,16,"A gear made from the precious metal {Godrion}. Increases a mech's strength.","　希少金属“神鉄（しんてつ）”で作ら
れた歯車。人形の力を増大させる。","　希少金属“神鉄（しんてつ）”で作ら
れた歯車。人形の力を増大させる。","　希少金属“神鉄（しんてつ）”で作ら
れた歯車。人形の力を増大させる。"
"opb/PartsDesc.opb","0x1edb","0x1 0x7e0","神鉄歯車Ｖ２","Godrion Gear V2",102,14,14,"Godrion Gear V2","Godiron Gear V2","Divine Iron Gear V2","&Godiron Gear V2"
"opb/PartsDesc.opb","0x1ee8","0x1 0x7e4","斬撃、打撃ダメージ＋１5％"," ・ Slashing, striking damage +15%",240,64,16,"Slashing, striking damage +15%","Slashing, striking damage +15%","Slashing, striking damage +15%","Slashing, striking damage +15%"
"opb/PartsDesc.opb","0x1f03","0x1 0x7e8","　希少金属“神鉄（しんてつ）”で作ら
れた歯車。人形の力を増大させる。","A gear made from the precious metal {Godrion}. Increases a Puppet's strength.",240,64,16,"A gear made from the rare metal {Godrion}. Increases a mech's strength.","　希少金属“神鉄（しんてつ）”で作ら
れた歯車。人形の力を増大させる。","　希少金属“神鉄（しんてつ）”で作ら
れた歯車。人形の力を増大させる。","　希少金属“神鉄（しんてつ）”で作ら
れた歯車。人形の力を増大させる。"
"opb/PartsDesc.opb","0x1f4a","0x1 0x7f4","神鉄歯車Ｖ３","Godrion Gear V3",102,14,14,"Godrion Gear V3","Godiron Gear V3","Divine Iron Gear V3","&Godiron Gear V3"
"opb/PartsDesc.opb","0x1f57","0x1 0x7f8","斬撃、打撃ダメージ＋２０％"," ・ Slashing, striking damage +20%",240,64,16,"Slashing, striking damage +20%","Slashing, striking damage +20%","Slashing, striking damage +20%","Slashing, striking damage +20%"
"opb/PartsDesc.opb","0x1f72","0x1 0x7fc","　希少金属“神鉄（しんてつ）”で作ら
れた歯車。人形の力を増大させる。","A gear made from the precious metal {Godrion}. Increases a Puppet's strength.",240,64,16,"A gear made from the rare metal {Godrion}. Increases a mech's strength.","　希少金属“神鉄（しんてつ）”で作ら
れた歯車。人形の力を増大させる。","　希少金属“神鉄（しんてつ）”で作ら
れた歯車。人形の力を増大させる。","　希少金属“神鉄（しんてつ）”で作ら
れた歯車。人形の力を増大させる。"
"opb/PartsDesc.opb","0x1fb9","0x1 0x808","神鉄歯車Ｖ4","Godrion Gear V4",102,14,14,"Godrion Gear V4","Godiron Gear V4","Divine Iron Gear V4","&Godiron Gear V4"
"opb/PartsDesc.opb","0x1fc6","0x1 0x80c","斬撃、打撃ダメージ＋３０％"," ・ Slashing, striking damage +30%",240,64,16,"Slashing, striking damage +30%","Slashing, striking damage +30%","Slashing, striking damage +30%","Slashing, striking damage +30%"
"opb/PartsDesc.opb","0x1fe1","0x1 0x810","　希少金属“神鉄（しんてつ）”で作ら
れた歯車。人形の力を増大させる。","A gear made from the precious metal {Godrion}. Increases a Puppet's strength.",240,64,16,"A gear made from the rare metal {Godrion}. Increases a mech's strength.","　希少金属“神鉄（しんてつ）”で作ら
れた歯車。人形の力を増大させる。","　希少金属“神鉄（しんてつ）”で作ら
れた歯車。人形の力を増大させる。","　希少金属“神鉄（しんてつ）”で作ら
れた歯車。人形の力を増大させる。"
"opb/PartsDesc.opb","0x2028","0x1 0x81c","神鉄歯車Ｖ5","Godrion Gear V5",102,14,14,"Godrion Gear V5","Godiron Gear V5","Divine Iron Gear V5","&Godiron Gear V5"
"opb/PartsDesc.opb","0x2035","0x1 0x820","斬撃、打撃ダメージ＋4０％"," ・ Slashing, striking damage +40%",240,64,16,"Slashing, striking damage +40%","Slashing, striking damage +40%","Slashing, striking damage +40%","Slashing, striking damage +40%"
"opb/PartsDesc.opb","0x2050","0x1 0x824","　希少金属“神鉄（しんてつ）”で作ら
れた歯車。人形の力を増大させる。","A gear made from the precious metal {Godrion}. Increases a Puppet's strength.",240,64,16,"A gear made from the rare metal {Godrion}. Increases a mech's strength.","　希少金属“神鉄（しんてつ）”で作ら
れた歯車。人形の力を増大させる。","　希少金属“神鉄（しんてつ）”で作ら
れた歯車。人形の力を増大させる。","　希少金属“神鉄（しんてつ）”で作ら
れた歯車。人形の力を増大させる。"
"opb/PartsDesc.opb","0x2097","0x1 0x830","白銀鋼弾Ｖ１","Silver Bullet V1",102,14,14,"Silver Bullet V1","Silver Bullet V1","White Silver Steel Bullet V1","&Silver Bullet V1"
"opb/PartsDesc.opb","0x20a4","0x1 0x834","射撃ダメージ＋5％"," ・ Shooting damage +5%",240,64,16,"Shooting damage +5%","Shooting damage +5%","Shooting damage +5%","Shooting damage +5%"
"opb/PartsDesc.opb","0x20b7","0x1 0x838","　銀色に輝くレアメタル“白銀鋼”で弾
丸を包み、貫通力を増大させる。","Bullets coated in a sparkling silvery metal, {Silver Steel}, with increased penetration force.",240,64,16,"Bullets coated in a sparkling silvery metal, {Silver Steel} with increased penetration force.","　銀色に輝くレアメタル“白銀鋼”で弾
丸を包み、貫通力を増大させる。","　銀色に輝くレアメタル“白銀鋼”で弾
丸を包み、貫通力を増大させる。","　銀色に輝くレアメタル“白銀鋼”で弾
丸を包み、貫通力を増大させる。"
"opb/PartsDesc.opb","0x20fc","0x1 0x844","白銀鋼弾Ｖ２","Silver Bullet V2",102,14,14,"Silver Bullet V2","Silver Bullet V2","White Silver Steel Bullet V2","&Silver Bullet V2"
"opb/PartsDesc.opb","0x2109","0x1 0x848","射撃ダメージ＋１０％"," ・ Shooting damage +10%",240,64,16,"Shooting damage +10%","Shooting damage +10%","Shooting damage +10%","Shooting damage +10%"
"opb/PartsDesc.opb","0x211e","0x1 0x84c","　銀色に輝くレアメタル“白銀鋼”で弾
丸を包み、貫通力を増大させる。","Bullets coated in a sparkling silvery metal, {Silver Steel}, with increased penetration force.",240,64,16,"Bullets coated in a sparkling silvery metal, {Silver Steel} with increased penetration force.","　銀色に輝くレアメタル“白銀鋼”で弾
丸を包み、貫通力を増大させる。","　銀色に輝くレアメタル“白銀鋼”で弾
丸を包み、貫通力を増大させる。","　銀色に輝くレアメタル“白銀鋼”で弾
丸を包み、貫通力を増大させる。"
"opb/PartsDesc.opb","0x2163","0x1 0x858","白銀鋼弾Ｖ３","Silver Bullet V3",102,14,14,"Silver Bullet V3","Silver Bullet V3","White Silver Steel Bullet V3","&Silver Bullet V3"
"opb/PartsDesc.opb","0x2170","0x1 0x85c","射撃ダメージ＋１5％"," ・ Shooting damage +15%",240,64,16,"Shooting damage +15%","Shooting damage +15%","Shooting damage +15%","Shooting damage +15%"
"opb/PartsDesc.opb","0x2185","0x1 0x860","　銀色に輝くレアメタル“白銀鋼”で弾
丸を包み、貫通力を増大させる。","Bullets coated in a sparkling silvery metal, {Silver Steel}, with increased penetration force.",240,64,16,"Bullets coated in a sparkling silvery metal, {Silver Steel} with increased penetration force.","　銀色に輝くレアメタル“白銀鋼”で弾
丸を包み、貫通力を増大させる。","　銀色に輝くレアメタル“白銀鋼”で弾
丸を包み、貫通力を増大させる。","　銀色に輝くレアメタル“白銀鋼”で弾
丸を包み、貫通力を増大させる。"
"opb/PartsDesc.opb","0x21ca","0x1 0x86c","白銀鋼弾Ｖ4","Silver Bullet V4",102,14,14,"Silver Bullet V4","Silver Bullet V4","White Silver Steel Bullet V4","&Silver Bullet V4"
"opb/PartsDesc.opb","0x21d7","0x1 0x870","射撃ダメージ＋２5％"," ・ Shooting damage +25%",240,64,16,"Shooting damage +25%","Shooting damage +25%","Shooting damage +25%","Shooting damage +25%"
"opb/PartsDesc.opb","0x21ec","0x1 0x874","　銀色に輝くレアメタル“白銀鋼”で弾
丸を包み、貫通力を増大させる。","Bullets coated in a sparkling silvery metal, {Silver Steel}, with increased penetration force.",240,64,16,"Bullets coated in a sparkling silvery metal, {Silver Steel} with increased penetration force.","　銀色に輝くレアメタル“白銀鋼”で弾
丸を包み、貫通力を増大させる。","　銀色に輝くレアメタル“白銀鋼”で弾
丸を包み、貫通力を増大させる。","　銀色に輝くレアメタル“白銀鋼”で弾
丸を包み、貫通力を増大させる。"
